frame_id,point_id,x0,y0,x1,y1,dx,dy,magnitude,angle
63,2,2666.0,694.0,2666.086,693.9179,0.0859375,-0.082092285,0.11884610716563275,-0.76251805
64,0,2708.0,734.0,2709.6726,733.5114,1.6726074,-0.48858643,1.7425074700468377,-0.28420323
64,1,2704.0,671.0,2701.3555,670.6277,-2.6445312,-0.37231445,2.670611088165465,-3.0017254
64,2,2664.0,695.0,2660.5605,694.5194,-3.4394531,-0.48059082,3.4728670195734397,-3.0027626
65,0,2708.0,733.0,2708.0,733.0,0.0,0.0,0.0,0.0
65,1,2701.0,670.0,2701.0,670.0,0.0,0.0,0.0,0.0
65,2,2661.0,694.0,2661.0,694.0,0.0,0.0,0.0,0.0
65,3,2665.0,739.0,2665.0,739.0,0.0,0.0,0.0,0.0
66,0,2708.0,733.0,2709.3804,732.8473,1.3803711,-0.15270996,1.3887925290086003,-0.1101816
66,1,2701.0,670.0,2697.768,669.98676,-3.2319336,-0.013244629,3.2319607322188575,-3.1374946
66,2,2661.0,694.0,2657.1902,693.88403,-3.8098145,-0.1159668,3.8115789989474953,-3.1111631
66,3,2665.0,739.0,2660.74,739.2044,-4.26001,0.20440674,4.264910939032039,3.0936468
67,0,2710.0,733.0,2710.0,733.0,0.0,0.0,0.0,0.0
67,1,2698.0,670.0,2698.0,670.0,0.0,0.0,0.0,0.0
67,2,2671.0,717.0,2671.0,717.0,0.0,0.0,0.0,0.0
67,3,2640.0,677.0,2640.0,677.0,0.0,0.0,0.0,0.0
68,0,2698.0,670.0,2694.2583,669.99664,-3.7416992,-0.0033569336,3.74170072461675,-3.1406956
68,1,2710.0,736.0,2711.4553,736.3951,1.4553223,0.39508057,1.5079958722674829,0.26508415
68,2,2671.0,717.0,2667.1265,717.3595,-3.8735352,0.35949707,3.8901815831999387,3.0490491
68,3,2640.0,677.0,2635.1584,677.3997,-4.8415527,0.39971924,4.858025149089513,3.0592194
69,0,2694.0,670.0,2694.0488,670.0766,0.048828125,0.07659912,0.09083837924220467,1.0032941
69,1,2667.0,719.0,2667.0,719.0,0.0,0.0,0.0,0.0
69,2,2635.0,677.0,2635.0,677.0,0.0,0.0,0.0,0.0
70,0,2694.0,670.0,2689.6138,670.22986,-4.3862305,0.2298584,4.392249151439738,3.089236
70,1,2667.0,719.0,2664.936,718.0792,-2.0639648,-0.92077637,2.2600398214648725,-2.7219698
70,2,2635.0,677.0,2629.6138,677.66486,-5.3862305,0.66485596,5.427109000756368,3.0187776
71,0,2690.0,671.0,2689.9158,671.0406,-0.084228516,0.04058838,0.09349791092119754,2.6925426
71,1,2663.0,720.0,2663.0,720.0,0.0,0.0,0.0,0.0
72,0,2689.0,671.0,2684.2217,671.3299,-4.7783203,0.32989502,4.789694743171179,3.072662
72,1,2663.0,720.0,2658.1729,720.55225,-4.8271484,0.5522461,4.8586353830804,3.0276837
73,0,2624.0,696.0,2624.0012,696.0008,0.0012207031,0.00079345703,0.0014559155812837602,0.57637525
73,1,2685.0,671.0,2685.0,671.0,0.0,0.0,0.0,0.0
73,2,2659.0,719.0,2659.0,719.0,0.0,0.0,0.0,0.0
